Firmenname,Adresse,Wärmemenge pro Jahr (in kWh/a)
Edgetech Europe GmbH,Gladbacher Strasse 23 Heinsberg 52525,1260347.0
Edmund Münster GmbH & Co.KG,Jülicher Landstraße 101 Neuss 41464,4181280.0
Egetürk GmbH & Co. KG,Feldkasseler Weg 5 Köln 50679,9388000.0
Egger Sägewerk Brilon GmbH,Im Kissen 19 Brilon 59929,21297300.0
Egon Großhaus GmbH & Co. KG,Bonzelerhammer  Lennestadt 57368,492900.0
Eibach Oberflächentechnik GmbH,Golsberger Straße 3 Lüdenscheid 58513,12348140.0
Einbecker Brauhaus AG,Papenstraße 4-7 Einbeck 37574,2115540.0
Eisengiesserei Baumgarte GmbH,Duisburger Straße 35 Bielefeld 33647,2872519.0
Eisengießerei Dinklage GmbH,In der Bahler Heide 5 Dinklage 49413,6734400.0
Eisenwerk Brühl GmbH,Kölnstraße 262-266 Brühl 50321,132057134.0
Elektrowerk Weisweiler GmbH,Dürener Str. 487 Eschweiler 52249,19299847.0
Elis Erkelenz GmbH & Co. KG,Straßburger Allee 8 Erkelenz  41812,2292400.0
Elis Ibbenbüren GmbH,Gildestraße 69 Ibbenbüren 49479,1331000.0
Elis Ost GmbH,Leinegasse 12 Heiligenstadt 37308,817200.0
Elis Textil-Service GmbH,Ferdinand-Porsche-Straße 10 Köln 51143,587100.0
Elis Textilmanagement GmbH,Schleusenstraße 11 Dorsten 46282,1125600.0
Elis West GmbH,Pettenkoferstraße 23 Hagen 58097,6385200.0
Elkem Milling Services GmbH,Oststrasse 16 Wesel 46483,2604201.0
Emka Beschlagteile GmbH & Co. KG,Langenberger Str.32 Velbert 42551,952441.0
Emscher Aufbereitung GmbH,Alsumer Str. 203-213 Duisburg 47166,11936124.7853
Emsland-Stärke GmbH,Werner-Eckart-Ring 13 Cloppenburg 49661,175604399.0
Enaspol GmbH,Kreuzauer Straße 46 Düren 52355,6800000.0
Energiehandel Lünen GmbH,Viktoriastraße 73 Lünen 44532,2929939.0
Energieversorgung Oberhausen AG,Friedrichstr. 37 Oberhausen 46145,19110849.04
Erlebnistherme Bad Hamm GmbH,Jürgen-Graef-Allee 2 Hamm 59065,785739.0
Erlus AG,Hundeshagener Str. 3 Teistungen 37339,8632453.0
Erzquell Brauerei Bielstein Haas & Co. KG,Bielsteiner Straße 108 Wiehl 51674,703049.0
Erzquell Brauerei Siegtal Haas GmbH & Co. KG,Kölner Straße 1-5 Mudersbach 57555,325364.0
Essity Operation Neuss GmbH,Floßhafenstr. 16 Neuss 41460,11971765.0
Essity Operations Witzenhausen GmbH,Kasseler Landstraße 21 Witzenhausen 37213,6398000.0
Euro-Alkohol GmbH,Hans-Böckler-Straße 30 Lüdinghausen 59348,79007120.0
Europipe GmbH,Sandstr. 140 Mülheim an der Ruhr 45473,1259040.0
Evangelisches Klinikum Niederrhein gGmbH,Fahrner Straße 133 Duisburg 47169,5494424.0
Evangelisches Krankenhaus Mettmann GmbH,4 Mettmann 40822,6402480.0
Evangelisches Krankenhaus Wesel GmbH,Schermbecker Landstraße 88 Wesel 46485,1384918.0
Express Küchen GmbH & Co. KG,Am Mühlenbach 1 Melle 49328,245204.0
FEDERAL-MOGUL Burscheid GmbH,Bürgermeister-Schmidt-Straße 17 Burscheid 51399,826300.0
FM-Plast GmbH,Industriestraße 8 Lennestadt 57368,1000000.0
FONDIUM Mettmann GmbH,Flurstraße 15-17 Mettmann 40822,98248198.0
FR. u. H. Lüling GmbH & Co. KG,Kleffstraße 1 Altena 58762,25500000.0
Fahnen-Herold,In der Fleute 81-89 Wuppertal 42389,1612000.0
FamCom Verbrauchermärkte GmbH & Co. KG,Meyers Tannen 2 Bramsche 49565,8740000.0
Farüchoc Schokoladenfabrik GmbH & Co. KG,Carl-Dütting-Straße 1 Osnabrück 49090,2345041.0
Fastenrath Befestigungstechnik GmbH,Lehmweg 1 Plettenberg 58840,208125.0
Federal-Mogul Sealing Systems GmbH,Hermann-Goetze-Str. 8 Herdorf 57562,2813991.0
Feed Valid GmbH,Loddenkamp 10 Hamm 59075,9102730.0
Feinbäckerei Otten GmbH & Co. KG,Gewerbestr. Süd 74 Erkelenz 41812,2917939.0
Feldhaus Produktions GmbH & Co. KG,Nordring 1 Bad Laer  49196,14653954.0
Felix Böttcher GmbH&Co.KG,Stolberger Straß3 351-353 Köln 50933,2011795.0
Felix Schoeller GmbH & Co. KG,Burg Gretesch 1 Osnabrück 49086,131309298.11
Fels-Werke GmbH,Steinberg 201  Katlenburg-Lindau 37191,1807504.0
Fernwärmeversorgung Hamm GmbH,Dessauer-Straße 1 Hamm 59073,5896060.0
Ferro-Duo GmbH,Am Außenhafen 5-7 Duisburg 47059,7500000.0
Ferrum Edelstahlhärterei GmbH,Nord-West-Ring 38 Augustdorf 32832,1062955.0
Firma Gülde GmbH & Co. KG,Westicker Straße 53 Kamen 59174,5152600.0
Fischer & Kaufmann GmbH & Co. KG,Am Steinwerk 7 Finnentrop 57413,1185000.0
Fleischmarkt Olpe GmbH EG-Schlacht- & Zerlegebetrieb,Frierichthaler Straße 8 Olpe 57462,4003580.0
Fleischwaren Blumberg GmbH,Stahlschmidtsbrücke 11 Hückeswagen 42499,254270.0
Fleischwerk Hessengut GmbH,Unter dem Schöneberg 20 Melsungen (Adelshausen) 34212,15111681.0
Fleischzerlegung Westphal GmbH,Dieselstraße 85 Herzebrock- Clarholz 33442,192596.0
Flender GmbH,Alfred-Flender-Straße 77 Bocholt 46395,5291606.0
Flora Food Manufacturing Germany GmbH & Co. OHG,Van-den-Bergh-Straße 35 Kleve 47533,23883000.0
Flughafen Düsseldorf Energie GmbH,Flughafenstra 105 Düsseldorf 47877,3866761.0
Follmann Chemie GmbH,Heinrich-Follmann-Str. 1 Minden 32423,7083861.0
ForFarmers Langförden GmbH,Industriestr. 7 Vechta Langförden 49377,2217000.0
ForFarmers Thesing Mischfutter GmbH&Co.KG,Deichstraße 11 Rees-Haffen 46459,2760000.0
Ford Werke GmbH,Henry Ford Straße 1 Köln  50735,38201440.0
Fr. Jacob Söhne GmbH & Co. KG,Niedernfeldweg 14 Porta Westfalica 32457,2113937.0
Franz Brinkmann GmbH,Oesterweg 16 Ense 59469,2276000.0
Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e.V.,Finkenstrasse 61 Duisburg 47057,14967372.0
Friedberg Produktionsgesellschaft mbH,Achternbergstrasse 38a Gelsenkichen 45884,4345797.0
Friedr. Lohmann GmbH,Ruhrtal 2 Witten 58456,9035.0
Friedrich Lütvogt GmbH & Co. KG,Hauptstraße 84 Wagenfeld 49419,3434725.0
